Name;Code;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
RWE - DIVIDEND YIELD;D:RWE(DY);7.09;12.08;6.29;3.81;3.78;8.86;0;2.46;2.62;2.72;2.33
RWE;D:RWE(P);49.216;28.869;31.82;26.216;26.428;11.289;12.21;20.322;19.105;25.73;34.3
RWE - HISTORICAL VOLATILITY 5 YEARS;400E(D:RWE);0.2336;0.2772;0.2983;0.2985;0.3108;0.3777;0.3686;0.3716;0.3889;0.3794;0.3734
RWE - RETURN ON EQUITY - TOTAL (%);D:RWE(WC08301);24.18;12.65;10.01;-27.7;22.53;-2.57;-132.78;39.95;4.32;66.18;NA
RWE - Environment Pillar Score;D:RWE(ENSCORE);95.44;95.49;91.05;94.77;92.9;92.33;92.61;86.57;87.85;86.96;NA
RWE - RESEARCH & DEVELOPMENT/SALES;D:RWE(WC08341);0.29;0.3;0.3;0.29;0.24;0.58;0.38;0.43;0.87;0.19;NA
RWE - Governance Pillar Score;D:RWE(CGSCORE);74.16;65.05;73.77;56.14;60.36;43.8;50.05;41.7;57.44;44.52;NA
RWE - Social Pillar Score;D:RWE(SOSCORE);84.51;73.8;61.27;65.46;66.46;69.47;66.7;75.44;72.31;68.29;NA
RWE - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:RWE(ENERDP0961);1950.9;1833.19;1570.45;1535.54;1626.47;1885.89;1887.57;5066.08;12272.9;12723.33;NA
UNICREDIT - DIVIDEND YIELD;I:UCG(DY);1.75;4;0;1.76;1.87;2.14;5.47;0;2.94;2.17;0
UNICREDIT;I:UCG(P);52.1464;22.8713;15.5292;23.6828;24.7365;26.4076;10.5313;16.7162;10.894;12.44;8.295
UNICREDIT - HISTORICAL VOLATILITY 5 YEARS;400E(I:UCG);0.4756;0.5357;0.6147;0.6169;0.515;0.5055;0.4712;0.4117;0.363;0.3763;0.5207
UNICREDIT - RETURN ON EQUITY - TOTAL (%);I:UCG(WC08301);1.88;-16.21;1.43;-25.76;4.26;3.33;-27.99;11.87;7.17;6.04;NA
UNICREDIT - Environment Pillar Score;I:UCG(ENSCORE);76.88;87.19;84.56;85.37;85.17;87.13;82.3;82.38;83.9;84.63;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
UNICREDIT - Governance Pillar Score;I:UCG(CGSCORE);91.21;79.4;76.85;82.41;80.47;78.88;73.98;73.48;83.82;77.79;NA
UNICREDIT - Social Pillar Score;I:UCG(SOSCORE);76.91;84.8;85.76;84.15;80.3;86.45;84.97;78.87;84.71;85.36;NA
UNICREDIT - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:UCG(ENERDP0961);0.55;0.62;0.37;0.35;0.38;0.52;0.45;0.32;0.39;0.32;NA
ASSICURAZIONI GENERALI - DIVIDEND YIELD;I:G(DY);2.32;3.66;1.65;1.22;2.77;3.5;6.21;5.24;5.88;4.69;6.87
ASSICURAZIONI GENERALI;I:G(P);15.08;12.31;12.13;16.39;16.25;17.16;11.6;15.26;14.445;19.17;13.965
ASSICURAZIONI GENERALI - HISTORICAL VOLATILITY 5 YEARS;400E(I:G);0.2905;0.3088;0.3466;0.3544;0.2865;0.2751;0.2917;0.2534;0.2323;0.2358;0.3324
ASSICURAZIONI GENERALI - RETURN ON EQUITY - TOTAL (%);I:G(WC08301);10.13;4.85;0.52;11.05;9.48;11.25;11;10.76;11.34;12.42;NA
ASSICURAZIONI GENERALI - Environment Pillar Score;I:G(ENSCORE);96.19;96.78;97.06;96.46;94.98;95.16;93.84;98.15;95.76;94.81;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
ASSICURAZIONI GENERALI - Governance Pillar Score;I:G(CGSCORE);70.47;95.26;94.58;89.39;85.3;75.46;78.05;78.44;94.93;93.61;NA
ASSICURAZIONI GENERALI - Social Pillar Score;I:G(SOSCORE);91.05;90.07;88.54;88.26;93.35;93.17;86.57;89.35;87.29;90.82;NA
ASSICURAZIONI GENERALI - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;I:G(ENERDP0961);0.19;0.23;0.18;0.42;0.41;0.44;0.46;0.38;0.43;0.32;NA
CELLNEX TELECOM - DIVIDEND YIELD;E:CLNX(DY);NA;NA;NA;NA;NA;0;0.65;2.37;0.45;0.24;0.13
CELLNEX TELECOM;E:CLNX(P);NA;NA;NA;NA;NA;13.066;11.0568;16.7393;19.0649;35.3734;51.18
CELLNEX TELECOM - HISTORICAL VOLATILITY 5 YEARS;400E(E:CLNX);NA;NA;NA;NA;NA;0.1343;0.2184;0.2137;0.1991;0.2184;0.287
CELLNEX TELECOM - RETURN ON EQUITY - TOTAL (%);E:CLNX(WC08301);NA;NA;7.58;17.52;11.68;9.94;8.62;6.77;-3.06;-0.4;NA
CELLNEX TELECOM - Environment Pillar Score;E:CLNX(ENSCORE);NA;NA;NA;NA;NA;17.55;23.19;20.55;24.93;33.03;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
CELLNEX TELECOM - Governance Pillar Score;E:CLNX(CGSCORE);NA;NA;NA;NA;NA;38.22;33.51;48.06;40.22;79.86;NA
CELLNEX TELECOM - Social Pillar Score;E:CLNX(SOSCORE);NA;NA;NA;NA;NA;48.75;45.92;47.74;48.48;45.23;NA
CELLNEX TELECOM - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;E:CLNX(ENERDP0961);NA;NA;NA;NA;NA;38.35;9.39;7.95;7.97;8.29;NA
DELIVERY HERO - DIVIDEND YIELD;D:DHER(DY);NA;NA;NA;NA;NA;NA;NA;0;0;0;0
DELIVERY HERO;D:DHER(P);NA;NA;NA;NA;NA;NA;NA;37.05;34.26;43.83;96.34
DELIVERY HERO - HISTORICAL VOLATILITY 5 YEARS;400E(D:DHER);NA;NA;NA;NA;NA;NA;NA;0.403;0.3718;0.3433;0.4645
DELIVERY HERO - RETURN ON EQUITY - TOTAL (%);D:DHER(WC08301);NA;NA;NA;-95.7;-55.72;-46.98;-22.4;-26.33;-2.29;13.27;NA
DELIVERY HERO - Environment Pillar Score;D:DHER(ENSCORE);NA;NA;NA;NA;NA;NA;NA;9.84;11.8;20.37;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
DELIVERY HERO - Governance Pillar Score;D:DHER(CGSCORE);NA;NA;NA;NA;NA;NA;NA;35.68;53.55;68.41;NA
DELIVERY HERO - Social Pillar Score;D:DHER(SOSCORE);NA;NA;NA;NA;NA;NA;NA;77.22;77.83;85.17;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
ENDESA - DIVIDEND YIELD;E:ELE(DY);5.25;6.26;3.88;0;4.19;3.75;5.94;7.08;6.9;6.02;6.08
ENDESA;E:ELE(P);10.2954;8.544;8.2047;11.413;14.2;20.24;17.99;18.83;20.04;23.69;24.27
ENDESA - HISTORICAL VOLATILITY 5 YEARS;400E(E:ELE);0.309;0.3024;0.3147;0.2665;0.2231;0.223;0.2082;0.202;0.1923;0.1842;0.2952
ENDESA - RETURN ON EQUITY - TOTAL (%);E:ELE(WC08301);25.8;11.94;10.18;9.13;22.94;12.33;15.69;16.21;15.63;2.04;NA
ENDESA - Environment Pillar Score;E:ELE(ENSCORE);95.52;82;65.71;65.62;71.81;72.56;74.51;70.3;84.31;85.39;NA
ENDESA - RESEARCH & DEVELOPMENT/SALES;E:ELE(WC08341);NA;NA;NA;0;NA;0.11;0.09;0.12;0.05;0.1;NA
ENDESA - Governance Pillar Score;E:ELE(CGSCORE);83.05;76.78;69.85;70.47;37.39;42.38;55.16;58.93;66.17;72.67;NA
ENDESA - Social Pillar Score;E:ELE(SOSCORE);89.04;88.64;81.94;87.58;89.1;90.18;93.26;91.92;90.68;90.86;NA
ENDESA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;E:ELE(ENERDP0961);4.46;6.95;0.88;NA;808.1;843.28;1019.89;1464.53;1295.42;1224.75;NA
LEGRAND - DIVIDEND YIELD;F:LRRS(DY);2.45;3.67;3.26;2.44;2.61;2.1;2.2;1.9;2.37;1.87;1.86
LEGRAND;F:LRRS(P);28.565;23.98;28.49;41.045;40.27;52.38;52.35;62.55;53.14;71.82;72
LEGRAND - HISTORICAL VOLATILITY 5 YEARS;400E(F:LRRS);0.287;0.2801;0.2847;0.2381;0.2115;0.2169;0.207;0.1955;0.1846;0.1833;0.2542
LEGRAND - RETURN ON EQUITY - TOTAL (%);F:LRRS(WC08301);16.34;16.86;16.49;16.52;15.68;14.99;16;17.36;17.68;17.22;NA
LEGRAND - Environment Pillar Score;F:LRRS(ENSCORE);45.14;41.75;43.33;45.81;47.76;52.09;80.64;81.53;82.32;83.66;NA
LEGRAND S.A. - RESEARCH & DEVELOPMENT/SALES;F:LRRS(WC08341);4.77;4.74;4.41;4.43;4.29;4.49;4.74;4.57;4.61;4.71;NA
LEGRAND S.A. - Governance Pillar Score;F:LRRS(CGSCORE);45.41;32.98;54.8;64.27;68.88;82.92;83.06;89.81;89.99;82.84;NA
LEGRAND S.A. - Social Pillar Score;F:LRRS(SOSCORE);66.3;73.96;91.27;91.44;98.13;97.15;95.21;95.01;94.03;92.52;NA
LEGRAND S.A. - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:LRRS(ENERDP0961);NA;92.11;284.82;272.56;316.76;353.21;348.54;289.61;363.47;309.82;NA
SARTORIUS STEDIM BIOTECH - DIVIDEND YIELD;F:DIM(DY);1.76;2.02;1.43;0.94;0.84;0.38;0.57;0.74;0.43;0.42;0.11
SARTORIUS STEDIM BIOTECH;F:DIM(P);5.6751;7.4418;11.6652;19.5087;23.9088;56.6428;58.79;56.76;106.2;136.8;313.2
SARTORIUS STEDIM BIOTECH - HISTORICAL VOLATILITY 5 YEARS;400E(F:DIM);0.4648;0.4608;0.4562;0.4368;0.2424;0.2497;0.2613;0.2696;0.2503;0.2536;0.307
SARTORIUS STEDIM BIOTECH - RETURN ON EQUITY - TOTAL (%);F:DIM(WC08301);10.16;11.34;13.74;14.56;14.34;20.1;21.96;19.76;21.8;21.37;NA
SARTORIUS STEDIM BIOTECH - Environment Pillar Score;F:DIM(ENSCORE);NA;NA;NA;NA;NA;NA;NA;60.7;60.24;59.1;NA
SARTORIUS STEDIM BIOTECH - RESEARCH & DEVELOPMENT/SALES;F:DIM(WC08341);6.43;5.99;5.69;6.12;5.64;4.7;4.52;4.92;5;5.5;NA
SARTORIUS STEDIM BIOTECH - Governance Pillar Score;F:DIM(CGSCORE);NA;NA;NA;NA;NA;NA;NA;12.45;36.29;24.88;NA
SARTORIUS STEDIM BIOTECH - Social Pillar Score;F:DIM(SOSCORE);NA;NA;NA;NA;NA;NA;NA;83.61;84.61;84.77;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
CAPGEMINI - DIVIDEND YIELD;F:CAP(DY);2.37;3.65;3.27;2.1;2;1.48;1.81;1.53;1.65;1.6;1.17
CAPGEMINI;F:CAP(P);33.685;27.415;30.565;47.695;55.02;80.98;74.41;101.5;102.8;106.55;115
CAPGEMINI - HISTORICAL VOLATILITY 5 YEARS;400E(F:CAP);0.3626;0.3781;0.369;0.2849;0.287;0.284;0.2598;0.2164;0.2042;0.206;0.3591
CAPGEMINI - RETURN ON EQUITY - TOTAL (%);F:CAP(WC08301);6.57;9.43;8.46;9.89;12.19;18.82;13.01;11.53;10.11;10.76;NA
CAPGEMINI - Environment Pillar Score;F:CAP(ENSCORE);74.44;79.7;73.29;72.93;73.74;75.67;78.97;77.26;76.49;77.87;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
CAPGEMINI - Governance Pillar Score;F:CAP(CGSCORE);69.57;46.37;52.29;27.28;45.54;26.91;32.13;36.35;45.72;53.6;NA
CAPGEMINI - Social Pillar Score;F:CAP(SOSCORE);58.45;58.89;58.74;57.92;61.61;74.63;84.78;83.83;88.74;90.52;NA
CAPGEMINI - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:CAP(ENERDP0961);37.92;12.63;11.21;12.81;14.23;26.47;25.22;22.17;22.44;19.99;NA
HEINEKEN HOLDING - DIVIDEND YIELD;H:HBA(DY);2.08;2.69;2.16;1.94;1.7;1.63;2.08;1.71;1.97;1.9;2.05
HEINEKEN HOLDING;H:HBA(P);31.32;29.7;39.865;47.39;52.41;72.3;66.22;79.68;77.15;86.95;82.1
HEINEKEN HOLDING - HISTORICAL VOLATILITY 5 YEARS;400E(H:HBA);0.2532;0.261;0.2705;0.2119;0.2035;0.2083;0.1959;0.1813;0.17;0.1604;0.2298
HEINEKEN HOLDING - RETURN ON EQUITY - TOTAL (%);H:HBA(WC08301);19.5;15.33;27.95;11.98;12.94;14.87;11.67;14.77;13.94;14.27;NA
HEINEKEN HOLDING - Environment Pillar Score;H:HBA(ENSCORE);NA;70.9;65.96;68.77;75.7;70.87;72.91;80.33;76.55;79.64;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
HEINEKEN HOLDING - Governance Pillar Score;H:HBA(CGSCORE);NA;27.52;19.95;16.92;18.57;33.86;25.86;28.16;27.99;23.16;NA
HEINEKEN HOLDING - Social Pillar Score;H:HBA(SOSCORE);NA;73.11;82.84;79.69;71.9;75.03;72.43;71.1;75.09;74.56;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
MERCK KGAA - DIVIDEND YIELD;D:MRK(DY);1.72;1.74;1.55;1.37;1.27;1.07;1.11;1.32;1.28;1.16;0.98
MERCK KGAA;D:MRK(P);29.01;35.85;48.48;62;74.59;93.19;94.31;91.155;97.76;108.1;132.3
MERCK KGAA - HISTORICAL VOLATILITY 5 YEARS;400E(D:MRK);0.2566;0.2665;0.2498;0.2261;0.2177;0.243;0.2163;0.2148;0.2196;0.213;0.2453
MERCK KGAA - RETURN ON EQUITY - TOTAL (%);D:MRK(WC08301);6.39;5.94;5.45;11.46;10.54;9.39;12.54;19.12;22.39;7.77;NA
MERCK KGAA - Environment Pillar Score;D:MRK(ENSCORE);74.28;74.89;78.77;83.56;86.7;90.07;90.86;90.36;89.94;91.28;NA
MERCK KGAA - RESEARCH & DEVELOPMENT/SALES;D:MRK(WC08341);15.04;14.76;13.53;13.56;14.78;13.29;13.13;13.93;14.96;13.83;NA
MERCK KGAA - Governance Pillar Score;D:MRK(CGSCORE);68.66;71.68;65.1;53.9;48.35;43.24;48.85;41.33;52.06;58.44;NA
MERCK KGAA - Social Pillar Score;D:MRK(SOSCORE);68.4;64.12;75.74;78.29;82.16;96.45;95.76;96.17;96.19;96.64;NA
MERCK KGAA - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:MRK(ENERDP0961);2.35;3.56;3.3;4.2;23.21;25.02;26.97;20.27;22.33;20.6;NA
NOKIA - DIVIDEND YIELD;M:NOK1(DY);5.38;8.13;9.48;0;1.75;2.08;4.16;4.57;3.72;4.73;0
NOKIA;M:NOK1(P);7.44;4.922;2.11;5.93;6.28;6.725;3.842;4.158;5.108;3.118;3.242
NOKIA - HISTORICAL VOLATILITY 5 YEARS;400E(M:NOK1);0.3559;0.4033;0.4845;0.545;0.5252;0.509;0.4856;0.389;0.2905;0.3296;0.4623
NOKIA - RETURN ON EQUITY - TOTAL (%);M:NOK1(WC08301);13.47;-8.87;-31.16;-8.54;45.92;25.8;-5.01;-8.25;-2.16;0.05;NA
NOKIA - Environment Pillar Score;M:NOK1(ENSCORE);73.74;68.46;87.5;84;82.27;83.82;86.66;93.12;91.66;88.05;NA
NOKIA OYJ - RESEARCH & DEVELOPMENT/SALES;M:NOK1(WC08341);11.68;11.64;13.82;18.3;18.57;16.03;20.77;21.84;21.03;19.28;NA
NOKIA OYJ - Governance Pillar Score;M:NOK1(CGSCORE);84.86;83.77;85.82;79.88;72.71;89.34;73.95;77.74;85.38;89.19;NA
NOKIA OYJ - Social Pillar Score;M:NOK1(SOSCORE);85.46;89.2;85.84;86.94;84.79;89.79;88.15;86.17;87.97;88.85;NA
NOKIA OYJ - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;M:NOK1(ENERDP0961);149.71;74.46;143.53;140.42;NA;NA;1834.77;1536.37;1726.34;1502.76;NA
PEUGEOT - DIVIDEND YIELD;F:PGT(DY);0;8.37;0;0;0;0;0;2.51;2.67;3.28;0
PEUGEOT;F:PGT(P);18.0858;8.3757;3.2084;7.4737;9.033;15.56;13.895;19.145;19.82;23.79;18.97
PEUGEOT - HISTORICAL VOLATILITY 5 YEARS;400E(F:PGT);0.4138;0.4643;0.5096;0.5153;0.5082;0.4989;0.4593;0.3817;0.317;0.3115;0.396
PEUGEOT - RETURN ON EQUITY - TOTAL (%);F:PGT(WC08301);8.68;4.25;-42.35;-28.34;-8.77;9.07;14.91;14.18;17.86;17.71;NA
PEUGEOT - Environment Pillar Score;F:PGT(ENSCORE);94.41;92.32;90.32;90.23;89.87;92.1;94.01;94.4;96.11;96.51;NA
PEUGEOT - RESEARCH & DEVELOPMENT/SALES;F:PGT(WC08341);2.22;2.18;3.69;2.09;2.39;3.4;2.02;2.14;2.45;2.82;NA
PEUGEOT - Governance Pillar Score;F:PGT(CGSCORE);85.81;84.83;82.76;75.59;87.4;58.35;57.35;55.16;55.95;53.15;NA
PEUGEOT - Social Pillar Score;F:PGT(SOSCORE);85.87;83.03;80.72;80.61;87.81;86.45;86.16;85.9;84;91.21;NA
PEUGEOT - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:PGT(ENERDP0961);868.41;859.76;NA;NA;NA;NA;NA;NA;NA;NA;NA
RYANAIR HOLDINGS - DIVIDEND YIELD;RY4C(DY);0;0;0;0;0;0;0;0;0;0;0
RYANAIR HOLDINGS;RY4C(P);3.688;3.67;4.563;5.548;8.435;14.195;13.955;17.35;11.855;13.85;15.245
RYANAIR HOLDINGS - HISTORICAL VOLATILITY 5 YEARS;400E(RY4C);0.3492;0.3527;0.3417;0.253;0.2639;0.2455;0.2477;0.2485;0.2663;0.2877;0.4029
RYANAIR HOLDINGS - RETURN ON EQUITY - TOTAL (%);RY4C(WC08301);11.58;12.91;17.9;17.31;15.94;23.68;40.86;32.82;32.62;18.28;12.81
RYANAIR HOLDINGS - Environment Pillar Score;RY4C(ENSCORE);5.17;6.96;19.05;16.39;17.28;19.56;12.55;18.23;16.43;14.7;24.06
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
RYANAIR HOLDINGS - Governance Pillar Score;RY4C(CGSCORE);54.63;43.14;52.69;55.28;30.09;44.63;57.37;46.84;29.03;33.97;56.49
RYANAIR HOLDINGS - Social Pillar Score;RY4C(SOSCORE);33.84;35.42;29.57;32.44;31.91;35.66;33.91;42.37;37.94;33.49;37.84
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
SAINT GOBAIN - DIVIDEND YIELD;F:SGO(DY);2.86;3.84;4.56;3.16;3.66;3.17;3.04;2.61;4.13;3.55;0
SAINT GOBAIN;F:SGO(P);35.01;29.95;27.175;39.24;33.895;39.08;40.85;48.32;31.445;37.48;39.54
SAINT GOBAIN - HISTORICAL VOLATILITY 5 YEARS;400E(F:SGO);0.3977;0.4176;0.4351;0.3433;0.2884;0.285;0.2581;0.213;0.208;0.2096;0.3816
SAINT GOBAIN - RETURN ON EQUITY - TOTAL (%);F:SGO(WC08301);6.68;7.2;4.35;3.41;5.36;7.01;6.95;8.41;2.31;7.58;NA
SAINT GOBAIN - Environment Pillar Score;F:SGO(ENSCORE);96.85;95.38;95.58;95.46;94.21;95.48;95.89;95.73;95.64;95.84;NA
SAINT GOBAIN - RESEARCH & DEVELOPMENT/SALES;F:SGO(WC08341);1;0.99;1.04;0.99;0.97;1.1;1.13;1.1;1.09;1.09;NA
SAINT GOBAIN - Governance Pillar Score;F:SGO(CGSCORE);45.02;55.54;52.65;56.31;67.54;73.37;63.2;73.64;80.04;81.43;NA
SAINT GOBAIN - Social Pillar Score;F:SGO(SOSCORE);58.08;62.45;61.57;72.29;84.76;85.51;83.62;81.11;77.96;86.07;NA
SAINT GOBAIN - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:SGO(ENERDP0961);2.46;28.42;224.35;NA;NA;NA;NA;NA;NA;496.6;NA
SIEMENS ENERGY N - DIVIDEND YIELD;D:ENR(DY);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
SIEMENS ENERGY N;D:ENR(P);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23
SIEMENS ENERGY N - HISTORICAL VOLATILITY 5 YEARS;400E(D:ENR);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
SIEMENS ENERGY N - RETURN ON EQUITY - TOTAL (%);D:ENR(WC08301);NA;NA;NA;NA;NA;NA;NA;NA;5.58;1.48;NA
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
SIEMENS ENERGY N - RESEARCH & DEVELOPMENT/SALES;D:ENR(WC08341);NA;NA;NA;NA;NA;NA;NA;3.69;3.81;3.48;NA
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
#ERROR;;$$ER: E100,INVALID CODE OR EXPRESSION ENTERED;;;;;;;;;;
SOCIETE GENERALE - DIVIDEND YIELD;F:SGE(DY);0.61;0;0;1.08;2.79;2.76;5;5.07;6.65;7.73;0
SOCIETE GENERALE;F:SGE(P);40.68;17.635;24.435;41.475;35.895;43.41;40;43.38;33.095;28.475;16.286
SOCIETE GENERALE - HISTORICAL VOLATILITY 5 YEARS;400E(F:SGE);0.4189;0.461;0.5162;0.5021;0.4549;0.436;0.4009;0.3291;0.2823;0.3075;0.4947
SOCIETE GENERALE - RETURN ON EQUITY - TOTAL (%);F:SGE(WC08301);8.08;5.06;1;3.67;4.3;6.23;5.62;3.86;5.7;4.39;NA
SOCIETE GENERALE - Environment Pillar Score;F:SGE(ENSCORE);92.89;90.11;89.5;89.57;90.72;90.59;89.34;88.69;96.18;NA;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
SOCIETE GENERALE - Governance Pillar Score;F:SGE(CGSCORE);78.14;82.55;83.33;87.06;80.53;73.92;85.67;86.11;87.61;NA;NA
SOCIETE GENERALE - Social Pillar Score;F:SGE(SOSCORE);85.88;83.84;83.09;81.92;83.77;91.75;89.4;88.64;88.18;NA;NA
SOCIETE GENERALE - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:SGE(ENERDP0961);1.2;1.48;1.09;0.79;1.13;2.22;2.05;1.59;2.4;NA;NA
WORLDLINE - DIVIDEND YIELD;F:WLN(DY);NA;NA;NA;NA;0;0;0;0;0;0;0
WORLDLINE;F:WLN(P);NA;NA;NA;NA;15.85;23.5;24.9;42.065;47.24;55.4;73.08
WORLDLINE - HISTORICAL VOLATILITY 5 YEARS;400E(F:WLN);NA;NA;NA;NA;0.1393;0.1842;0.2132;0.196;0.2326;0.2543;0.3598
WORLDLINE - RETURN ON EQUITY - TOTAL (%);F:WLN(WC08301);NA;NA;24.47;31.32;20.81;14.59;15.02;8.86;4.14;9.13;NA
WORLDLINE - Environment Pillar Score;F:WLN(ENSCORE);NA;NA;NA;NA;NA;NA;NA;77.33;74.94;73.22;NA
#ERROR;;$$ER: 4540,NO DATA VALUES FOUND;;;;;;;;;;
WORLDLINE - Governance Pillar Score;F:WLN(CGSCORE);NA;NA;NA;NA;NA;NA;NA;54.33;72.82;69.47;NA
WORLDLINE - Social Pillar Score;F:WLN(SOSCORE);NA;NA;NA;NA;NA;NA;NA;90.96;91.33;95.76;NA
WORLDLINE - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;F:WLN(ENERDP0961);NA;NA;NA;NA;NA;NA;NA;1.61;2.05;1.72;NA
ZALANDO - DIVIDEND YIELD;D:ZAL(DY);NA;NA;NA;NA;0;0;0;0;0;0;0
ZALANDO;D:ZAL(P);NA;NA;NA;NA;18.501;31.424;35.281;41.109;28.99;38.26;78.86
ZALANDO - HISTORICAL VOLATILITY 5 YEARS;400E(D:ZAL);NA;NA;NA;NA;0;0.3644;0.3943;0.3472;0.3469;0.3642;0.4239
ZALANDO - RETURN ON EQUITY - TOTAL (%);D:ZAL(WC08301);NA;NA;-30.18;-23.21;5.63;10.13;9;7;3.33;6.17;NA
ZALANDO - Environment Pillar Score;D:ZAL(ENSCORE);NA;NA;NA;NA;NA;40.42;84.99;91.84;93.29;93.56;NA
ZALANDO - RESEARCH & DEVELOPMENT/SALES;D:ZAL(WC08341);NA;NA;NA;NA;0.85;0.78;1.59;1.14;1.02;1.06;NA
ZALANDO - Governance Pillar Score;D:ZAL(CGSCORE);NA;NA;NA;NA;NA;53.08;67.32;63.67;67.4;73.15;NA
ZALANDO - Social Pillar Score;D:ZAL(SOSCORE);NA;NA;NA;NA;NA;46.78;72.58;76.66;73;76.23;NA
ZALANDO - CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions;D:ZAL(ENERDP0961);NA;NA;NA;NA;NA;37.44;40.36;34.06;38.91;35;NA
AENA SME - DIVIDEND YIELD;E:AENA(DY);NA;NA;NA;NA;NA;0;2.22;2.38;4.85;4.16;0
AENA SME;E:AENA(P);NA;NA;NA;NA;NA;101.8;122.15;160.85;133.95;166.6;145.9
AENA SME - HISTORICAL VOLATILITY 5 YEARS;400E(E:AENA);NA;NA;NA;NA;NA;0.1822;0.2008;0.2012;0.1976;0.185;0.3745
AENA SME - RETURN ON EQUITY - TOTAL (%);E:AENA(WC08301);NA;NA;-2.58;21.79;14.6;21.32;25.04;23.08;22.67;23.18;NA
AENA SME - Environment Pillar Score;E:AENA(ENSCORE);NA;NA;NA;NA;36.07;43.34;54.4;51.58;67.93;73.11;NA
AENA SME - RESEARCH & DEVELOPMENT/SALES;E:AENA(WC08341);NA;NA;NA;NA;NA;25.21;24.31;NA;0;0.01;NA
AENA SME - Governance Pillar Score;E:AENA(CGSCORE);NA;NA;NA;NA;3.96;17.73;20.79;17.21;22.41;56.31;NA
AENA SME - Social Pillar Score;E:AENA(SOSCORE);NA;NA;NA;NA;9.28;38.9;54.6;55.43;82.64;85.4;NA
#ERROR;;$$ER: 0904,NO DATA AVAILABLE;;;;;;;;;;
AKZO NOBEL - DIVIDEND YIELD;H:AKZA(DY);3.11;3.99;3.63;2.6;2.71;2.3;2.72;2.37;3.12;2.08;2.2
AKZO NOBEL;H:AKZA(P);43.761;35.5567;40.2506;56.1857;53.9194;64.4151;58.1197;78.2551;74.6793;88.3;87.38
AKZO NOBEL - HISTORICAL VOLATILITY 5 YEARS;400E(H:AKZA);0.2994;0.3156;0.313;0.2637;0.2503;0.2625;0.2451;0.2152;0.1898;0.1861;0.2811
AKZO NOBEL - RETURN ON EQUITY - TOTAL (%);H:AKZA(WC08301);9;5.24;-26.94;11.6;9.59;15.95;14.88;13.4;75.42;5.93;NA
AKZO NOBEL - Environment Pillar Score;H:AKZA(ENSCORE);79.08;62.98;63.07;67.09;62.16;70.15;64.03;61.84;86.91;64.83;NA
AKZO NOBEL - RESEARCH & DEVELOPMENT/SALES;H:AKZA(WC08341);2.14;2.08;2.35;0.76;0.76;0.63;0.68;2.06;0.63;0.69;NA
AKZO NOBEL - Governance Pillar Score;H:AKZA(CGSCORE);73.4;91.07;87.67;82.98;64.96;80.34;81.49;63.96;68.59;66.99;NA
AKZO NOBEL - Social Pillar Score;H:AKZA(SOSCORE);80.57;85.2;84.49;81.58;85.59;82.45;80.02;77.83;73.29;74.66;NA
